Domain Code,Domain,Area Code,Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","69.463","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","73.99","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","69.364","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","90.233","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","126.904","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","169.687","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","157.793","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","149.07","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2016","2016","23013","Consumer Prices, Food Indices (2010 = 100)","7001","January","","439.431","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","62.267","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","66.324","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","67.389","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","90.897","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","124.059","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","142.108","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","150.919","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","158.802","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2016","2016","23013","Consumer Prices, Food Indices (2010 = 100)","7002","February","","519.503","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2008","2008","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","61.216","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2009","2009","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","68.267","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2010","2010","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","68.933","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2011","2011","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","85.62","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2012","2012","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","125.959","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2013","2013","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","138.806","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2014","2014","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","142.999","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2015","2015","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","164.6182316381","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
"CP","Consumer Price Indices","277","South Sudan","2016","2016","23013","Consumer Prices, Food Indices (2010 = 100)","7003","March","","577.1757051365","X","International reliable sources (USDA, WTO, World Bank, IMF, UNICEF, UNSD)","2011M6"
