Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","277","South Sudan","5312","Area harvested","486","Bananas","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","486","Bananas","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","486","Bananas","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","486","Bananas","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","486","Bananas","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","486","Bananas","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","486","Bananas","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","486","Bananas","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","176","Beans, dry","2012","2012","ha","1680","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","176","Beans, dry","2013","2013","ha","1500","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","176","Beans, dry","2014","2014","ha","1340","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","176","Beans, dry","2015","2015","ha","1036","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","176","Beans, dry","2016","2016","ha","819","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5419","Yield","176","Beans, dry","2012","2012","hg/ha","35714","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","176","Beans, dry","2013","2013","hg/ha","35333","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","176","Beans, dry","2014","2014","hg/ha","30896","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","176","Beans, dry","2015","2015","hg/ha","30323","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","176","Beans, dry","2016","2016","hg/ha","30658","Fc","Calculated data"
"QC","Crops","277","South Sudan","5510","Production","176","Beans, dry","2012","2012","tonnes","6000","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","176","Beans, dry","2013","2013","tonnes","5300","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","176","Beans, dry","2014","2014","tonnes","4140","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","176","Beans, dry","2015","2015","tonnes","3141","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5510","Production","176","Beans, dry","2016","2016","tonnes","2512","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","414","Beans, green","2012","2012","ha","160","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","414","Beans, green","2013","2013","ha","200","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","414","Beans, green","2014","2014","ha","225","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","414","Beans, green","2015","2015","ha","241","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","414","Beans, green","2016","2016","ha","256","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5419","Yield","414","Beans, green","2012","2012","hg/ha","46875","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","414","Beans, green","2013","2013","hg/ha","40000","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","414","Beans, green","2014","2014","hg/ha","44444","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","414","Beans, green","2015","2015","hg/ha","44578","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","414","Beans, green","2016","2016","hg/ha","44713","Fc","Calculated data"
"QC","Crops","277","South Sudan","5510","Production","414","Beans, green","2012","2012","tonnes","750","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","414","Beans, green","2013","2013","tonnes","800","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","414","Beans, green","2014","2014","tonnes","1000","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","414","Beans, green","2015","2015","tonnes","1075","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5510","Production","414","Beans, green","2016","2016","tonnes","1147","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","181","Broad beans, horse beans, dry","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","181","Broad beans, horse beans, dry","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","181","Broad beans, horse beans, dry","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","181","Broad beans, horse beans, dry","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","181","Broad beans, horse beans, dry","2016","2016","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","181","Broad beans, horse beans, dry","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","181","Broad beans, horse beans, dry","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","181","Broad beans, horse beans, dry","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","181","Broad beans, horse beans, dry","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","181","Broad beans, horse beans, dry","2016","2016","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","358","Cabbages and other brassicas","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","358","Cabbages and other brassicas","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","358","Cabbages and other brassicas","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","358","Cabbages and other brassicas","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","358","Cabbages and other brassicas","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","358","Cabbages and other brassicas","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","358","Cabbages and other brassicas","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","358","Cabbages and other brassicas","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","426","Carrots and turnips","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","426","Carrots and turnips","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","426","Carrots and turnips","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","426","Carrots and turnips","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","426","Carrots and turnips","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","426","Carrots and turnips","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","426","Carrots and turnips","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","426","Carrots and turnips","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","125","Cassava","2012","2012","ha","78000","*","Unofficial figure"
"QC","Crops","277","South Sudan","5312","Area harvested","125","Cassava","2013","2013","ha","82000","*","Unofficial figure"
"QC","Crops","277","South Sudan","5312","Area harvested","125","Cassava","2014","2014","ha","99523","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","125","Cassava","2015","2015","ha","84202","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","125","Cassava","2016","2016","ha","84453","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5419","Yield","125","Cassava","2012","2012","hg/ha","15385","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","125","Cassava","2013","2013","hg/ha","15244","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","125","Cassava","2014","2014","hg/ha","12681","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","125","Cassava","2015","2015","hg/ha","15279","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","125","Cassava","2016","2016","hg/ha","15437","Fc","Calculated data"
"QC","Crops","277","South Sudan","5510","Production","125","Cassava","2012","2012","tonnes","120000","*","Unofficial figure"
"QC","Crops","277","South Sudan","5510","Production","125","Cassava","2013","2013","tonnes","125000","*","Unofficial figure"
"QC","Crops","277","South Sudan","5510","Production","125","Cassava","2014","2014","tonnes","126205","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5510","Production","125","Cassava","2015","2015","tonnes","128652","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5510","Production","125","Cassava","2016","2016","tonnes","130366","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","265","Castor oil seed","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","265","Castor oil seed","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","265","Castor oil seed","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","265","Castor oil seed","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","265","Castor oil seed","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","265","Castor oil seed","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","265","Castor oil seed","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","265","Castor oil seed","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","393","Cauliflowers and broccoli","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","393","Cauliflowers and broccoli","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","393","Cauliflowers and broccoli","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","393","Cauliflowers and broccoli","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","393","Cauliflowers and broccoli","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","393","Cauliflowers and broccoli","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","393","Cauliflowers and broccoli","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","393","Cauliflowers and broccoli","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","191","Chick peas","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","191","Chick peas","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","191","Chick peas","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","191","Chick peas","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","191","Chick peas","2016","2016","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","191","Chick peas","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","191","Chick peas","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","191","Chick peas","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","191","Chick peas","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","191","Chick peas","2016","2016","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","689","Chillies and peppers, dry","2012","2012","ha","2500","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","689","Chillies and peppers, dry","2013","2013","ha","3000","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","689","Chillies and peppers, dry","2014","2014","ha","3500","F","FAO estimate"
"QC","Crops","277","South Sudan","5312","Area harvested","689","Chillies and peppers, dry","2015","2015","ha","4797","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","689","Chillies and peppers, dry","2016","2016","ha","4303","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5419","Yield","689","Chillies and peppers, dry","2012","2012","hg/ha","20000","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","689","Chillies and peppers, dry","2013","2013","hg/ha","20000","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","689","Chillies and peppers, dry","2014","2014","hg/ha","18571","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","689","Chillies and peppers, dry","2015","2015","hg/ha","14828","Fc","Calculated data"
"QC","Crops","277","South Sudan","5419","Yield","689","Chillies and peppers, dry","2016","2016","hg/ha","18676","Fc","Calculated data"
"QC","Crops","277","South Sudan","5510","Production","689","Chillies and peppers, dry","2012","2012","tonnes","5000","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","689","Chillies and peppers, dry","2013","2013","tonnes","6000","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","689","Chillies and peppers, dry","2014","2014","tonnes","6500","F","FAO estimate"
"QC","Crops","277","South Sudan","5510","Production","689","Chillies and peppers, dry","2015","2015","tonnes","7113","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5510","Production","689","Chillies and peppers, dry","2016","2016","tonnes","8037","Im","FAO data based on imputation methodology"
"QC","Crops","277","South Sudan","5312","Area harvested","401","Chillies and peppers, green","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","401","Chillies and peppers, green","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","401","Chillies and peppers, green","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","401","Chillies and peppers, green","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","401","Chillies and peppers, green","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","401","Chillies and peppers, green","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","401","Chillies and peppers, green","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","401","Chillies and peppers, green","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","195","Cow peas, dry","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","195","Cow peas, dry","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","195","Cow peas, dry","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","195","Cow peas, dry","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","195","Cow peas, dry","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","195","Cow peas, dry","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","195","Cow peas, dry","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","195","Cow peas, dry","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","397","Cucumbers and gherkins","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","397","Cucumbers and gherkins","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","397","Cucumbers and gherkins","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","397","Cucumbers and gherkins","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","397","Cucumbers and gherkins","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","397","Cucumbers and gherkins","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","397","Cucumbers and gherkins","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","397","Cucumbers and gherkins","2015","2015","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","577","Dates","2012","2012","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","577","Dates","2013","2013","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","577","Dates","2014","2014","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5312","Area harvested","577","Dates","2015","2015","ha","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","577","Dates","2012","2012","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","577","Dates","2013","2013","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","577","Dates","2014","2014","tonnes","","M","Data not available"
"QC","Crops","277","South Sudan","5510","Production","577","Dates","2015","2015","tonnes","","M","Data not available"
