DATE,DEXUSAL
1/4/71,1.1127
1/5/71,1.1132
1/6/71,1.114
1/7/71,1.1138
1/8/71,1.1124
1/11/71,1.1152
1/12/71,1.1156
1/13/71,1.1165
1/14/71,1.1189
1/15/71,1.1182
1/18/71,1.1179
1/19/71,1.1193
1/20/71,1.1193
1/21/71,1.1198
1/22/71,1.1204
1/25/71,1.1224
1/26/71,1.123
1/27/71,1.123
1/28/71,1.1234
1/29/71,1.1236
2/1/71,1.1241
2/2/71,1.124
2/3/71,1.1241
2/4/71,1.1233
2/5/71,1.1224
2/8/71,1.124
2/9/71,1.1226
2/10/71,1.1229
2/11/71,1.1229
2/12/71,.
2/15/71,.
2/16/71,1.1245
2/17/71,1.1245
2/18/71,1.1244
2/19/71,1.1244
2/22/71,1.1245
2/23/71,1.1245
2/24/71,1.1245
2/25/71,1.1238
2/26/71,1.123
3/1/71,1.1231
3/2/71,1.1241
3/3/71,1.1245
3/4/71,1.1239
3/5/71,1.1241
3/8/71,1.1245
3/9/71,1.1244
3/10/71,1.1245
3/11/71,1.1243
3/12/71,1.1245
3/15/71,1.1245
3/16/71,1.1241
3/17/71,1.1246
3/18/71,1.1244
3/19/71,1.1244
3/22/71,1.1245
3/23/71,1.1245
3/24/71,1.1246
3/25/71,1.1241
3/26/71,1.1243
3/29/71,1.1246
3/30/71,1.124
3/31/71,1.1234
4/1/71,1.1224
4/2/71,1.1213
4/5/71,1.123
4/6/71,1.1243
4/7/71,1.1234
4/8/71,1.1233
4/9/71,1.1233
4/12/71,1.1234
4/13/71,1.1233
4/14/71,1.1239
4/15/71,1.1242
4/16/71,1.1242
4/19/71,1.1245
4/20/71,1.1245
4/21/71,1.1246
4/22/71,1.1242
4/23/71,1.1243
4/26/71,1.1243
4/27/71,1.1244
4/28/71,1.1246
4/29/71,1.1245
4/30/71,1.1245
5/3/71,1.1243
5/4/71,1.1242
5/5/71,1.1246
5/6/71,1.1242
5/7/71,1.1243
5/10/71,1.1236
5/11/71,1.1235
5/12/71,1.124
5/13/71,1.124
5/14/71,1.1242
5/17/71,1.1245
5/18/71,1.1244
5/19/71,1.1246
5/20/71,1.1245
5/21/71,1.1246
5/24/71,1.1246
5/25/71,1.1244
5/26/71,1.1246
5/27/71,1.1243
5/28/71,1.1238
5/31/71,.
6/1/71,1.1231
6/2/71,1.1234
6/3/71,1.1243
6/4/71,1.1244
6/7/71,1.1245
6/8/71,1.1243
6/9/71,1.1246
6/10/71,1.1245
6/11/71,1.1246
6/14/71,1.1242
6/15/71,1.1242
6/16/71,1.1245
6/17/71,1.1243
6/18/71,1.1244
6/21/71,1.1244
6/22/71,1.1244
6/23/71,1.1246
6/24/71,1.1244
6/25/71,1.1244
6/28/71,1.1242
6/29/71,1.1244
6/30/71,1.1246
7/1/71,1.1243
7/2/71,1.1243
7/5/71,.
7/6/71,1.124
7/7/71,1.1242
7/8/71,1.1242
7/9/71,1.1241
7/12/71,1.124
