"EDU.ATTAIN.MYS.MYS STAT_UNIT[MYS], UNIT_MEASURE[YR]EDU_LEVEL[_Z], EDU_CAT[_Z], SEX[_T], AGE[Y_GE25], GRADE[_T], SECTOR_EDU[INST_T], EDU_ATTAIN[L1T8], WEALTH_QUINTILE[_Z], LOCATION[_T], EDU_TYPE[_T], EDU_FIELD[_T], TEACH_EXPERIENCE[_Z], CONTRACT_TYPE[_Z], COUNTRY_ORIGIN[W00], REGION_DEST[W00], ",2010,2011,2012,2013,2014,2015
Oman,7.92538,,,,,9.59007
Bolivia (Plurinational State of),,,8.2654,,,
Mozambique,,2.43968,,,,
Uganda,6.6277,,5.12609,,,
Cabo Verde,,,,,,6.12153
Honduras,,5.58215,5.51748,,6.19977,6.2908
Kenya,5.48586,,,,,
Turkey,7.19484,7.47233,7.6028,7.75968,7.93477,8.09049
Armenia,,11.16193,,,,11.66751
Chile,9.90611,,,10.04172,,
Philippines,8.92149,,,9.14894,,
Aruba,8.40682,,,,,
Czechia,,,12.62759,12.70523,11.70766,12.84402
Uruguay,8.32856,8.40457,8.47905,8.52327,8.61314,8.6687
Indonesia,,7.515,,,7.79761,7.91448
Pakistan,4.68086,4.78262,5.01176,4.98585,5.18874,
Italy,9.69991,9.77406,9.89439,,10.08141,10.1604
Bahamas,11.85741,,,,,
Palestine,8.35838,8.56774,8.85313,8.87376,8.91025,9.05773
Venezuela (Bolivarian Republic of),,9.63933,,,,10.07703
Denmark,,,,,12.40809,12.42551
Ethiopia,,2.11632,,,,
Palau,,,,12.94643,,
Azerbaijan,10.71891,10.72056,10.69497,10.6901,10.6927,10.47526
Saudi Arabia,,,,9.42756,,
Zimbabwe,,,7.72433,,8.14804,
Belize,10.4666,,,,,
Ecuador,7.61477,,,8.54136,,8.68422
Cayman Islands,,,,,13.39757,13.43317
Paraguay,,,,,8.24652,8.42123
Belgium,11.45172,11.50635,11.5378,11.54295,11.64524,11.92251
Ireland,,11.10127,,,,
France,10.7604,10.83438,10.91806,11.06555,11.21268,11.32049
Suriname,,,9.01972,,,
Iraq,,,,7.81945,,
Latvia,,,,,,13.23453
Romania,10.74798,10.86957,10.97782,10.81749,10.86177,10.99373
China,7.01041,,,,,
Sweden,11.94377,12.02002,12.09518,12.22346,12.28459,12.3449
El Salvador,6.99488,6.31721,6.47475,6.54156,,
Saint Lucia,,,,8.40892,,
Mali,,1.99918,,,,1.90789
Burundi,,,,,1.94031,
Georgia,,,12.88628,,12.6064,
Marshall Islands,,10.86577,,,,
Panama,9.27164,,,,,
Mexico,8.00666,,8.49036,8.35654,8.40272,8.60085
Slovenia,12.03158,12.1505,12.22375,12.32246,12.37996,
Ghana,6.9713,,,,,
Greece,10.211,,,,10.59533,10.74311
Tunisia,6.67524,7.1138,6.74145,,,
Norway,,,,,12.72679,12.7869
United Republic of Tanzania,,,5.45568,,,
Thailand,7.65517,,,7.89132,,
Mauritius,,8.52308,,,,
Jordan,9.84774,,,,,
Côte d'Ivoire,,,,,3.26321,
Costa Rica,8.3069,8.42993,8.49359,,8.76355,8.60046
"China, Hong Kong Special Administrative Region",11.45769,11.39976,,,11.8995,12.03813
United States of America,13.33267,13.37893,13.41255,13.4668,13.49209,13.51627
