CEMP_IND,Indicators,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,AUT,Austria,2014,2014,27995.6,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,AUT,Austria,2015,2015,28496.9,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,BEL,Belgium,2014,2014,24456.4,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,BEL,Belgium,2015,2015,24444.7,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,CZE,Czechia,2014,2014,23987,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,CZE,Czechia,2015,2015,25632.2,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,DNK,Denmark,2013,2013,24311.2,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,DNK,Denmark,2014,2014,24265.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,FIN,Finland,2014,2014,48730.5,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,FIN,Finland,2015,2015,51102.2,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,FRA,France,2014,2014,22085.7,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,FRA,France,2015,2015,21372.8,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,DEU,Germany,2015,2015,35071.8,,
CE_RA_CULOCC1_1_O_CULIND1_1_OV_AGE15_1_P1M,Persons in cultural employment per million inhabitants,HUN,Hungary,2014,2014,25028.8,,
